time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
8.399999999999985e-11;1.979697463579807e-22;2.999999999999999e-04
8.449999999999985e-11;1.615216156600398e-22;3.000000000000000e-04
8.499999999999985e-11;2.091745178373224e-22;3.000000000000000e-04
8.549999999999985e-11;-9.014809919052494e-24;3.000000000000000e-04
8.599999999999985e-11;2.491455974187940e-24;3.000000000000000e-04
8.649999999999984e-11;1.865090026887663e-23;3.000000000000000e-04
8.699999999999984e-11;1.351768888987672e-22;3.000000000000000e-04
8.749999999999984e-11;1.364556135997542e-22;3.000000000000000e-04
8.799999999999984e-11;0.000000000000000e+00;3.000000000000000e-04
8.849999999999984e-11;0.000000000000000e+00;3.000000000000000e-04
8.899999999999983e-11;0.000000000000000e+00;3.000000000000000e-04
8.949999999999983e-11;2.117582368135751e-22;3.000000000000000e-04
8.999999999999983e-11;-9.983643855950980e-23;3.000000000000000e-04
9.049999999999983e-11;0.000000000000000e+00;3.000000000000000e-04
9.099999999999983e-11;9.046971224835328e-23;3.000000000000000e-04
9.149999999999983e-11;-1.250801204696952e-22;2.999999999999999e-04
9.199999999999982e-11;0.000000000000000e+00;3.000000000000000e-04
9.249999999999982e-11;0.000000000000000e+00;3.000000000000000e-04
9.299999999999982e-11;0.000000000000000e+00;3.000000000000000e-04
9.349999999999982e-11;3.212598724221572e-23;3.000000000000000e-04
9.399999999999982e-11;-2.098365094348188e-23;3.000000000000000e-04
9.449999999999982e-11;-1.702369421117296e-22;3.000000000000000e-04
9.499999999999981e-11;-9.846444886946139e-23;3.000000000000000e-04
9.549999999999981e-11;-5.274828739341040e-23;3.000000000000000e-04
9.599999999999981e-11;3.669840865917246e-22;3.000000000000000e-04
9.649999999999981e-11;-4.386308495038578e-22;3.000000000000000e-04
9.699999999999981e-11;-3.114538048439766e-22;3.000000000000000e-04
9.749999999999981e-11;5.421387069937372e-22;3.000000000000000e-04
9.799999999999980e-11;-2.462215466476279e-22;3.000000000000000e-04
9.849999999999980e-11;9.458620614287834e-22;3.000000000000000e-04
9.899999999999980e-11;-6.028968124748994e-22;3.000000000000000e-04
9.949999999999980e-11;6.018382029606424e-22;3.000000000000000e-04
9.999999999999980e-11;-6.750840498136534e-22;3.000000000000000e-04
1.004999999999998e-10;-1.911774807627219e-21;3.000000000000000e-04
1.009999999999998e-10;-1.347052872715108e-22;3.000000000000000e-04
1.014999999999998e-10;1.932432466615599e-21;3.000000000000000e-04
1.019999999999998e-10;-1.025051956338310e-21;3.000000000000000e-04
1.024999999999998e-10;-8.660194337119183e-22;3.000000000000000e-04
1.029999999999998e-10;-2.406453057058645e-22;3.000000000000000e-04
1.034999999999998e-10;-1.216335958257395e-22;3.000000000000000e-04
1.039999999999998e-10;2.024176059773719e-22;3.000000000000000e-04
1.044999999999998e-10;-2.117582368135751e-22;3.000000000000000e-04
1.049999999999998e-10;2.006578678004773e-22;2.999999999999999e-04
1.054999999999998e-10;1.761143552493314e-22;3.000000000000000e-04
1.059999999999998e-10;-1.229396378234347e-23;3.000000000000000e-04
1.064999999999998e-10;7.151680033704270e-23;3.000000000000000e-04
1.069999999999998e-10;0.000000000000000e+00;2.999999999999999e-04
1.074999999999998e-10;-7.917511268617335e-23;3.000000000000000e-04
1.079999999999998e-10;9.349642804260726e-23;3.000000000000000e-04
1.084999999999998e-10;-1.636253933279868e-22;3.000000000000000e-04
1.089999999999998e-10;-6.869716775281792e-23;3.000000000000000e-04
1.094999999999998e-10;1.331306169915438e-22;3.000000000000000e-04
1.099999999999998e-10;6.795551343365484e-23;3.000000000000000e-04
1.104999999999998e-10;-8.686045661353657e-23;3.000000000000000e-04
1.109999999999998e-10;6.959008937630178e-23;3.000000000000000e-04
1.114999999999998e-10;2.045800319059373e-22;3.000000000000000e-04
1.119999999999998e-10;0.000000000000000e+00;3.000000000000000e-04
1.124999999999998e-10;2.047289270991753e-22;3.000000000000000e-04
1.129999999999998e-10;1.886058111709138e-22;3.000000000000000e-04
1.134999999999998e-10;-5.787808944387076e-23;3.000000000000000e-04
1.139999999999997e-10;0.000000000000000e+00;3.000000000000000e-04
1.144999999999997e-10;-4.830853450720879e-23;3.000000000000000e-04
1.149999999999997e-10;-2.117582368135751e-22;3.000000000000000e-04
1.154999999999997e-10;-2.117582368135751e-22;3.000000000000000e-04
1.159999999999997e-10;0.000000000000000e+00;3.000000000000000e-04
1.164999999999998e-10;-1.738403893017545e-22;3.000000000000000e-04
1.169999999999998e-10;9.102387881489169e-23;2.999999999999999e-04
1.174999999999997e-10;7.760566379585241e-24;2.999999999999999e-04
1.179999999999997e-10;-2.117582368135751e-22;3.000000000000000e-04
1.184999999999997e-10;9.551817098048729e-23;3.000000000000000e-04
1.189999999999997e-10;3.072484994010826e-22;3.000000000000000e-04
1.194999999999997e-10;2.415918440556913e-22;3.000000000000000e-04
1.199999999999997e-10;2.117582368125131e-22;3.000000000000000e-04
1.204999999999997e-10;4.999999999997460e-05;2.999999999999999e-04
1.209999999999997e-10;9.999999999997381e-05;3.000000000000000e-04
1.214999999999997e-10;1.000000000000000e-04;2.999999999999999e-04
1.219999999999997e-10;9.999999999999999e-05;3.000000000000000e-04
1.224999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.229999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.234999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.239999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.244999999999997e-10;9.999999999999999e-05;2.999999999999999e-04
1.249999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.254999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.259999999999997e-10;9.999999999999999e-05;3.000000000000000e-04
1.264999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
1.269999999999997e-10;1.000000000000000e-04;3.000000000000000e-04
