time units=S;v(1,2) units=V;v(2,3) units=V;v(3,4) units=V;v(4,5) units=V;v(5,6) units=V;v(6,7) units=V;v(7,8) units=V
1.250000000000000e-11;0.000000000000000e+00;-1.694065894508601e-21;6.134823369289262e-07;2.110024936621475e-06;-1.500371754840058e-08;-7.090171398393189e-09;-4.812295049919324e-07
1.300000000000000e-11;0.000000000000000e+00;-1.270549420881451e-21;5.660491773309300e-07;1.946882261512388e-06;-1.375101816791719e-07;-6.498194561449281e-08;-4.024023486685599e-07
1.350000000000000e-11;0.000000000000000e+00;-8.470329472543003e-22;4.654478876006001e-07;1.600871924778754e-06;-1.998795284249333e-07;-9.445526495312175e-08;-4.182926163737764e-07
1.400000000000000e-11;0.000000000000000e+00;-4.235164736271502e-22;3.373490819741880e-07;1.160286013890578e-06;-2.113870108020773e-07;-9.989325205950573e-08;-4.811305966871592e-07
1.450000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;2.040622362296572e-07;7.018562412494258e-07;-1.925682411705192e-07;-9.100023591526522e-08;-5.487253542800976e-07
1.500000000000000e-11;0.000000000000000e+00;2.117582368135751e-22;8.261735824777866e-08;2.841559986380407e-07;-1.649332982258567e-07;-7.794104032393762e-08;-5.921889477732170e-07
1.550000000000000e-11;0.000000000000000e+00;4.235164736271502e-22;-1.598226518842266e-08;-5.496976205716414e-08;-1.442526426013476e-07;-6.816816951815148e-08;-5.983066098000375e-07
1.600000000000000e-11;0.000000000000000e+00;4.764560328305439e-22;-8.652610246850765e-08;-2.975998213641033e-07;-1.378435496944139e-07;-6.513948232887964e-08;-5.675458750419090e-07
1.650000000000000e-11;0.000000000000000e+00;4.235164736271502e-22;-1.286648014506223e-07;-4.425326096287988e-07;-1.451627420759903e-07;-6.859824701382880e-08;-5.094871928285013e-07
1.700000000000001e-11;0.000000000000000e+00;2.117582368135751e-22;-1.455921960038849e-07;-5.007530708834451e-07;-1.604241971856485e-07;-7.581021513735047e-08;-4.375555298935177e-07
1.750000000000001e-11;0.000000000000000e+00;2.117582368135751e-22;-1.426267038728216e-07;-4.905534905895298e-07;-1.758784947054977e-07;-8.311331304294003e-08;-3.645311050181116e-07
1.800000000000001e-11;0.000000000000000e+00;1.058791184067875e-22;-1.259165647972474e-07;-4.330802627324532e-07;-1.846689677063733e-07;-8.726734754796565e-08;-2.996735435331573e-07
1.850000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;-1.014142107183281e-07;-3.488063154544012e-07;-1.826366226803459e-07;-8.630694059203569e-08;-2.476423709074281e-07
1.900000000000001e-11;0.000000000000000e+00;-1.058791184067875e-22;-7.418484464632864e-08;-2.551530218590416e-07;-1.689121776620284e-07;-7.982130347195069e-08;-2.089013714723762e-07
1.950000000000001e-11;0.000000000000000e+00;-1.588186776101813e-22;-4.804606143177564e-08;-1.652507034419840e-07;-1.454924525324846e-07;-6.875405530884671e-08;-1.810292280652893e-07
2.000000000000001e-11;0.000000000000000e+00;-1.588186776101813e-22;-2.532713490389605e-08;-8.711071697630989e-08;-1.162378675653416e-07;-5.492948010362501e-08;-1.602081417225908e-07
2.050000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-1.047979040310448e-05;-3.604442662813035e-05;3.041203153248639e-05;1.437153929126638e-05;2.990465861590435e-06
2.100000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-1.323435113522886e-05;-4.551852471432567e-05;3.811979631223523e-05;1.801392813535497e-05;5.113408127850788e-06
