#Title: CKT2
#Date: 
#Plotname: Transient analysis
#Flags: real
#No. Variables: 8
#No. Points: 651     
#Command: version 4.3.22
#Variables:
"time units=S","v(1,2) units=V","v(2,3) units=V","v(3,4) units=V","v(4,5) units=V","v(5,6) units=V","v(6,7) units=V","v(7,8) units=V"
#Values:
2,850000000000004e-11,7,172512583863977e-12,-2,406408405875027e-14,2,978036591811395e-04,1,024271849384473e-03,5,856090924241109e-04,2,767361197322515e-04,2,874667612076387e-04
2,900000000000004e-11,-3,139430382326225e-11,-3,269606807521086e-14,2,757301679739976e-04,9,483545311861907e-04,5,418434381586623e-04,2,560538119830424e-04,2,657704256984750e-04
2,950000000000004e-11,3,569386453072809e-11,-3,566591466608315e-14,2,565614889948331e-04,8,824216859805445e-04,5,026148967337274e-04,2,375163770817201e-04,2,471059148141663e-04
3,000000000000004e-11,-1,058775289664027e-11,-3,086420008457935e-14,2,375540355935291e-04,8,170490625032112e-04,4,664599945718995e-04,2,204307624628365e-04,2,289605212373036e-04
3,050000000000004e-11,-1,915945180286371e-11,-2,434163981490656e-14,2,201381344333897e-04,7,571486631466062e-04,4,333205189092360e-04,2,047703591797068e-04,2,121295204158824e-04
3,100000000000004e-11,3,757111288749115e-11,-1,523781101298027e-14,2,041771525151670e-04,7,022503798601865e-04,3,993035972529313e-04,1,886951616897059e-04,1,969012373668477e-04
3,150000000000003e-11,-2,710570656816458e-11,-6,050715484207103e-15,1,892086945781690e-04,6,507693440735707e-04,3,745478109005995e-04,1,769969157575657e-04,1,825528529740827e-04
3,200000000000003e-11,5,038358619202654e-12,3,635980405647388e-15,1,756971763670623e-04,6,042967049923464e-04,3,442732040577767e-04,1,626900327549863e-04,1,693925773133542e-04
3,250000000000003e-11,1,818112327356403e-11,9,159339953157541e-15,1,628783618882745e-04,5,602070027114214e-04,3,179416736012186e-04,1,502466241201095e-04,1,566097426937141e-04
3,300000000000003e-11,-3,562256045697154e-11,1,268429805634241e-14,1,502005009967611e-04,5,166041126124510e-04,3,045033594913094e-04,1,438967135770075e-04,1,467956264031289e-04
3,350000000000003e-11,2,276115407262580e-11,1,273980920757367e-14,1,405164265303183e-04,4,832944774529335e-04,2,694347879486358e-04,1,273242386057583e-04,1,340495923063678e-04
3,400000000000002e-11,-1,798727833346447e-12,1,182387521225792e-14,1,298240688245855e-04,4,465198721353425e-04,2,558689526880875e-04,1,209136798405175e-04,1,251850866352822e-04
3,450000000000002e-11,-2,970643175892462e-11,5,079270337660091e-15,1,194321372007257e-04,4,107779061675032e-04,2,439222486273762e-04,1,152681086231955e-04,1,171944592726071e-04
3,500000000000002e-11,1,382768621827069e-10,-3,691491556878645e-15,1,178185936286102e-04,4,052272815595059e-04,1,906291917166680e-04,9,008374794486351e-05,1,040087188889094e-04
3,550000000000002e-11,-1,020142303964633e-10,-1,240674230018612e-14,9,869118304534075e-05,3,394407956868739e-04,2,239559290045934e-04,1,058331619211705e-04,1,023308202800222e-04
3,600000000000002e-11,-7,659928247250036e-12,-1,543210004228968e-14,9,566418032455615e-05,3,290295426133516e-04,1,903614895010786e-04,8,995743999623551e-05,9,252769457718246e-05
3,650000000000002e-11,1,959091222580867e-10,-1,471045507628332e-14,9,898619201895165e-05,3,404554452155484e-04,1,363477052533923e-04,6,443186680096802e-05,8,218735497758645e-05
3,700000000000001e-11,-3,917742241732469e-10,-1,335043187111751e-14,6,201190665597323e-05,2,132844600122308e-04,2,407775108498600e-04,1,137836552963511e-04,8,733599473581544e-05
3,750000000000001e-11,2,049757308331124e-10,-1,063038546078587e-14,8,762021365626982e-05,3,013632107890518e-04,1,091917883942195e-04,5,159883055058656e-05,6,991776808248917e-05
3,800000000000001e-11,5,100725397610972e-11,-5,995204332975845e-15,7,398631798166688e-05,2,544702809618160e-04,1,287924332419588e-04,6,086202953523023e-05,6,717043121012845e-05
3,850000000000001e-11,-3,648426838420704e-10,-1,249000902703301e-15,4,468399100904241e-05,1,536863057871596e-04,2,065832218267338e-04,9,762487050862800e-05,7,126442265020794e-05
3,900000000000001e-11,5,656539958653894e-10,3,053113317719180e-15,9,443892048055513e-05,3,248170624936264e-04,-4,912246417687616e-07,-2,349404672197242e-07,4,695873198570788e-05
3,950000000000001e-11,-2,559033818183565e-10,1,720845688168993e-15,4,178027769818904e-05,1,436991238121244e-04,1,646505908995399e-04,7,780866032458533e-05,6,001259037308193e-05
4,000000000000000e-11,-1,339321709092900e-10,-2,997602166487923e-15,4,492766979399820e-05,1,545246625413998e-04,1,304843508989628e-04,6,166238895774501e-05,5,305455056220376e-05
4,050000000000000e-11,6,034256705422791e-10,-3,358424649491099e-15,8,277238521020580e-05,2,846918479565697e-04,-2,590409196970289e-05,-1,224375538583233e-05,3,545223346002047e-05
4,100000000000000e-11,-7,534752821669599e-10,-1,471045507628332e-15,1,774739130822045e-06,6,100950651344306e-06,2,423767754716477e-04,1,145409250476181e-04,5,805201959072082e-05
4,150000000000000e-11,2,874099291894083e-10,-1,665334536937735e-16,5,839475283614393e-05,2,008453854265846e-04,2,414728053962145e-05,1,140984201708495e-05,3,510177508947443e-05
4,200000000000000e-11,2,626316664144923e-10,2,386979502944087e-15,5,381803489451498e-05,1,851040365061785e-04,2,435664653435698e-05,1,150891688558864e-05,3,238663290158761e-05
