time units=S;Vdummy#branch units=A
1.674999999999996e-10;0.000000000000000e+00
1.679999999999996e-10;0.000000000000000e+00
1.684999999999996e-10;0.000000000000000e+00
1.689999999999996e-10;0.000000000000000e+00
1.694999999999996e-10;0.000000000000000e+00
1.699999999999996e-10;0.000000000000000e+00
1.704999999999996e-10;0.000000000000000e+00
1.709999999999996e-10;0.000000000000000e+00
1.714999999999996e-10;0.000000000000000e+00
1.719999999999996e-10;0.000000000000000e+00
1.724999999999996e-10;0.000000000000000e+00
1.729999999999996e-10;0.000000000000000e+00
1.734999999999996e-10;0.000000000000000e+00
1.739999999999996e-10;0.000000000000000e+00
1.744999999999996e-10;0.000000000000000e+00
1.749999999999996e-10;0.000000000000000e+00
1.754999999999995e-10;0.000000000000000e+00
1.759999999999995e-10;0.000000000000000e+00
1.764999999999995e-10;0.000000000000000e+00
1.769999999999995e-10;0.000000000000000e+00
1.774999999999995e-10;0.000000000000000e+00
1.779999999999995e-10;0.000000000000000e+00
1.784999999999995e-10;0.000000000000000e+00
1.789999999999995e-10;0.000000000000000e+00
1.794999999999995e-10;0.000000000000000e+00
1.799999999999995e-10;0.000000000000000e+00
1.804999999999995e-10;4.999999999995305e-05
1.809999999999995e-10;9.999999999995307e-05
1.814999999999995e-10;1.000000000000001e-04
1.819999999999995e-10;1.000000000000000e-04
1.824999999999995e-10;1.000000000000000e-04
1.829999999999995e-10;1.000000000000001e-04
1.834999999999995e-10;9.999999999999995e-05
1.839999999999995e-10;1.000000000000001e-04
1.844999999999995e-10;1.000000000000001e-04
1.849999999999995e-10;1.000000000000002e-04
1.854999999999995e-10;1.000000000000000e-04
1.859999999999995e-10;1.000000000000002e-04
1.864999999999995e-10;9.999999999999998e-05
1.869999999999995e-10;1.000000000000001e-04
1.874999999999995e-10;1.000000000000000e-04
1.879999999999995e-10;1.000000000000000e-04
1.884999999999995e-10;1.000000000000000e-04
1.889999999999995e-10;1.000000000000001e-04
1.894999999999995e-10;1.000000000000001e-04
1.899999999999995e-10;1.000000000000002e-04
1.904999999999995e-10;1.000000000000000e-04
1.909999999999995e-10;1.000000000000000e-04
1.914999999999995e-10;5.000000000005017e-05
1.919999999999995e-10;5.052331169456802e-17
1.924999999999995e-10;0.000000000000000e+00
1.929999999999995e-10;0.000000000000000e+00
1.934999999999995e-10;0.000000000000000e+00
1.939999999999995e-10;0.000000000000000e+00
1.944999999999995e-10;0.000000000000000e+00
1.949999999999995e-10;0.000000000000000e+00
1.954999999999995e-10;0.000000000000000e+00
1.959999999999995e-10;0.000000000000000e+00
1.964999999999995e-10;0.000000000000000e+00
1.969999999999995e-10;0.000000000000000e+00
1.974999999999995e-10;0.000000000000000e+00
1.979999999999995e-10;0.000000000000000e+00
1.984999999999995e-10;0.000000000000000e+00
1.989999999999995e-10;0.000000000000000e+00
1.994999999999995e-10;0.000000000000000e+00
1.999999999999995e-10;0.000000000000000e+00
2.004999999999995e-10;0.000000000000000e+00
2.009999999999995e-10;0.000000000000000e+00
2.014999999999995e-10;0.000000000000000e+00
2.019999999999995e-10;0.000000000000000e+00
2.024999999999995e-10;0.000000000000000e+00
2.029999999999995e-10;0.000000000000000e+00
2.034999999999995e-10;0.000000000000000e+00
2.039999999999995e-10;0.000000000000000e+00
2.044999999999994e-10;0.000000000000000e+00
2.049999999999994e-10;0.000000000000000e+00
2.054999999999994e-10;0.000000000000000e+00
2.059999999999994e-10;0.000000000000000e+00
2.064999999999994e-10;0.000000000000000e+00
2.069999999999994e-10;0.000000000000000e+00
2.074999999999994e-10;0.000000000000000e+00
2.079999999999994e-10;0.000000000000000e+00
2.084999999999994e-10;0.000000000000000e+00
2.089999999999994e-10;0.000000000000000e+00
2.094999999999994e-10;0.000000000000000e+00
2.099999999999994e-10;0.000000000000000e+00
2.104999999999994e-10;0.000000000000000e+00
2.109999999999994e-10;0.000000000000000e+00
2.114999999999994e-10;0.000000000000000e+00
2.119999999999994e-10;0.000000000000000e+00
2.124999999999994e-10;0.000000000000000e+00
2.129999999999994e-10;0.000000000000000e+00
2.134999999999994e-10;0.000000000000000e+00
2.139999999999994e-10;0.000000000000000e+00
2.144999999999994e-10;0.000000000000000e+00
2.149999999999994e-10;0.000000000000000e+00
2.154999999999994e-10;0.000000000000000e+00
2.159999999999994e-10;0.000000000000000e+00
2.164999999999994e-10;0.000000000000000e+00
2.169999999999994e-10;0.000000000000000e+00
2.174999999999994e-10;0.000000000000000e+00
2.179999999999994e-10;0.000000000000000e+00
2.184999999999994e-10;0.000000000000000e+00
2.189999999999994e-10;0.000000000000000e+00
2.194999999999994e-10;0.000000000000000e+00
2.199999999999994e-10;0.000000000000000e+00
2.204999999999994e-10;0.000000000000000e+00
2.209999999999994e-10;0.000000000000000e+00
2.214999999999994e-10;0.000000000000000e+00
2.219999999999994e-10;0.000000000000000e+00
2.224999999999994e-10;0.000000000000000e+00
2.229999999999994e-10;0.000000000000000e+00
2.234999999999994e-10;0.000000000000000e+00
2.239999999999994e-10;0.000000000000000e+00
2.244999999999994e-10;0.000000000000000e+00
2.249999999999994e-10;0.000000000000000e+00
2.254999999999994e-10;0.000000000000000e+00
2.259999999999994e-10;0.000000000000000e+00
2.264999999999994e-10;0.000000000000000e+00
2.269999999999994e-10;0.000000000000000e+00
2.274999999999994e-10;0.000000000000000e+00
2.279999999999994e-10;0.000000000000000e+00
2.284999999999994e-10;0.000000000000000e+00
2.289999999999994e-10;0.000000000000000e+00
2.294999999999994e-10;0.000000000000000e+00
2.299999999999994e-10;0.000000000000000e+00
2.304999999999994e-10;0.000000000000000e+00
2.309999999999994e-10;0.000000000000000e+00
2.314999999999994e-10;0.000000000000000e+00
2.319999999999994e-10;0.000000000000000e+00
2.324999999999994e-10;0.000000000000000e+00
2.329999999999994e-10;0.000000000000000e+00
2.334999999999993e-10;0.000000000000000e+00
2.339999999999993e-10;0.000000000000000e+00
