time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
2.550000000000003e-11;-2.008773645950263e-17;1.040358353852528e+00;8.048654502725525e-01;9.602861528548592e-01;6.177879487510283e-01
2.600000000000003e-11;-2.530856636313544e-17;1.050194804615564e+00;7.973587690164563e-01;9.442420031359664e-01;6.220164930654806e-01
2.650000000000003e-11;-2.407574530134532e-17;1.056939419357953e+00;7.882465949305293e-01;9.128683606966386e-01;6.237329948042457e-01
2.700000000000004e-11;-2.021513654835044e-17;1.060646343445904e+00;7.794964618693585e-01;8.720992518204782e-01;6.236838370705350e-01
2.750000000000004e-11;-1.698187671771733e-17;1.061630405413282e+00;7.723285443140442e-01;8.274243977028526e-01;6.226670704380672e-01
2.800000000000004e-11;-1.440813754905408e-17;1.060394289437973e+00;7.672954684459143e-01;7.836009687887633e-01;6.213931050184738e-01
2.850000000000004e-11;-1.183439838039082e-17;1.057545976728534e+00;7.644316323839642e-01;7.444203164881515e-01;6.203903422872618e-01
2.900000000000004e-11;-8.637170898118755e-18;1.053718663734367e+00;7.634281968984170e-01;7.125476430506790e-01;6.199646560790644e-01
2.950000000000004e-11;-4.154360701099454e-18;1.049502391495566e+00;7.637996469324382e-01;6.894622630835083e-01;6.202085274302134e-01
3.000000000000004e-11;9.931176362269923e-19;1.045393298320626e+00;7.650197216760379e-01;6.755138447653000e-01;6.210463919685802e-01
3.050000000000004e-11;5.520968268697660e-18;1.041763101687909e+00;7.666163655313292e-01;6.700872848876920e-01;6.222985403098665e-01
3.100000000000004e-11;8.454065768785352e-18;1.038741475056483e+00;7.682619128580802e-01;6.712309197646505e-01;6.237548687365986e-01
3.150000000000003e-11;7.912068471603897e-18;1.036162573691102e+00;7.633043765216215e-01;6.659365733113096e-01;6.243017674137303e-01
3.200000000000003e-11;-2.835213349104832e-19;1.032665243627156e+00;7.416444953817648e-01;6.282518743772758e-01;6.222499590637363e-01
3.250000000000003e-11;-9.036550873617036e-18;1.026340528993161e+00;6.898086129410129e-01;5.232785240166025e-01;6.146451371151300e-01
3.300000000000003e-11;-1.482939430748571e-17;1.017398078548082e+00;6.255306545155301e-01;3.816578076129551e-01;6.030311804291546e-01
3.350000000000003e-11;-1.933665502660711e-17;1.005912699115423e+00;5.598632747917500e-01;2.251520973577143e-01;5.883869087628038e-01
3.400000000000002e-11;-2.191940228236054e-17;9.920174061317140e-01;5.018936046106008e-01;7.426164786827850e-02;5.717665173003931e-01
3.450000000000002e-11;-2.129334022958307e-17;9.763125479229444e-01;4.577000600044944e-01;-5.300959732180872e-02;5.546312283337518e-01
3.500000000000002e-11;-1.681053003256379e-17;9.597344933080967e-01;4.294537644004512e-01;-1.453958423102413e-01;5.384857605114318e-01
3.550000000000002e-11;-1.101125225077341e-17;9.434369872171695e-01;4.161878134553340e-01;-1.986051511493054e-01;5.246609679725512e-01
3.600000000000002e-11;-7.765123724296959e-18;9.286039384963012e-01;4.148754117137995e-01;-2.143983284888495e-01;5.140904032345667e-01
3.650000000000002e-11;-6.478254139965345e-18;9.162542208234182e-01;4.215535564034959e-01;-1.989829220644890e-01;5.071635348650374e-01
3.700000000000001e-11;-2.666546431175146e-18;9.070871921501187e-01;4.322756150865200e-01;-1.612033387530087e-01;5.037012995312280e-01
3.750000000000001e-11;5.657569475073827e-18;9.013986479987965e-01;4.437671384949816e-01;-1.108367661071600e-01;5.030546221851405e-01
3.800000000000001e-11;1.406661877388884e-17;8.990756191549928e-01;4.537552461545064e-01;-5.715585766030749e-02;5.042895145980855e-01
3.850000000000001e-11;1.799157100610042e-17;8.996597077164451e-01;4.610157012259586e-01;-7.851113231073802e-03;5.064033238438678e-01
3.900000000000001e-11;1.802631648487748e-17;9.024561846038770e-01;4.652222452135333e-01;3.162834817495462e-02;5.085175399024212e-01
3.950000000000001e-11;1.486512135096706e-17;9.066613497396976e-01;4.666918072858719e-01;5.830457860518524e-02;5.100084499459048e-01
4.000000000000000e-11;7.847178072814844e-18;9.114829398161278e-01;4.661062091906238e-01;7.152219132237705e-02;5.105596587302423e-01
4.050000000000000e-11;-5.387075734821894e-19;9.162353432456638e-01;4.642671062253171e-01;7.252277736200799e-02;5.101421051608049e-01
4.100000000000000e-11;-5.155352207272332e-18;9.204002038116383e-01;4.619151812385773e-01;6.386396728277538e-02;5.089423070383402e-01
4.150000000000000e-11;-5.202966381892817e-18;9.236512241741379e-01;4.596226071638742e-01;4.879668792230651e-02;5.072660941075227e-01
4.200000000000000e-11;-6.389460138646087e-18;9.258481038839506e-01;4.577520119743141e-01;3.069075813898861e-02;5.054437643403555e-01
4.250000000000000e-11;-1.210123078870155e-17;9.270080406598999e-01;4.564660475062006e-01;1.257121535364135e-02;5.037558184941402e-01
4.299999999999999e-11;-1.859091410248616e-17;9.272643094317057e-01;4.557683938243270e-01;-3.199547536499920e-03;5.023891649211671e-01
