time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
9.899999999999980e-11;4.135903062765138e-25;0.000000000000000e+00
9.949999999999980e-11;2.295198952416436e-25;0.000000000000000e+00
9.999999999999980e-11;-2.067951531380645e-25;0.000000000000000e+00
1.004999999999998e-10;-1.978622636058101e-23;4.999999999997885e-05
1.009999999999998e-10;-4.392234404227865e-35;9.999999999997897e-05
1.014999999999998e-10;-6.630666568562553e-23;1.000000000000000e-04
1.019999999999998e-10;1.054560250264490e-22;1.000000000000000e-04
1.024999999999998e-10;1.065137584772514e-22;1.000000000000000e-04
1.029999999999998e-10;0.000000000000000e+00;1.000000000000000e-04
1.034999999999998e-10;-5.241069247803658e-23;1.000000000000000e-04
1.039999999999998e-10;-5.357419927381359e-23;1.000000000000000e-04
1.044999999999998e-10;5.219914578791132e-23;1.000000000000000e-04
1.049999999999998e-10;1.058791184067875e-22;1.000000000000000e-04
1.054999999999998e-10;1.058791184067875e-22;1.000000000000000e-04
1.059999999999998e-10;2.115466901340709e-24;1.000000000000000e-04
1.064999999999998e-10;-2.327013591465982e-24;1.000000000000000e-04
1.069999999999998e-10;5.420883934418939e-23;1.000000000000000e-04
1.074999999999998e-10;-5.156450571753552e-23;1.000000000000000e-04
1.079999999999998e-10;-2.961653661841775e-24;1.000000000000000e-04
1.084999999999998e-10;5.452615937937730e-23;1.000000000000000e-04
1.089999999999998e-10;0.000000000000000e+00;1.000000000000000e-04
1.094999999999998e-10;0.000000000000000e+00;1.000000000000000e-04
1.099999999999998e-10;5.103563899222235e-23;1.000000000000000e-04
1.104999999999998e-10;-4.691047853469160e-23;1.000000000000000e-04
1.109999999999998e-10;1.058791184064629e-22;9.999999999999984e-05
1.114999999999998e-10;-9.893113180287939e-24;5.000000000002486e-05
1.119999999999998e-10;1.115444236423416e-22;2.474665981535296e-17
1.124999999999998e-10;-6.630666568563579e-23;0.000000000000000e+00
1.129999999999998e-10;0.000000000000000e+00;0.000000000000000e+00
1.134999999999998e-10;0.000000000000000e+00;0.000000000000000e+00
1.139999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.144999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.149999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.154999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.159999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.164999999999998e-10;0.000000000000000e+00;0.000000000000000e+00
1.169999999999998e-10;2.442626405047503e-24;-4.150546060217436e-22
1.174999999999997e-10;-1.010049011329771e-22;-4.328245279930578e-22
1.179999999999997e-10;-1.084176786883897e-22;0.000000000000000e+00
1.184999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.189999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.194999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.199999999999997e-10;2.646977960166864e-23;0.000000000000000e+00
1.204999999999997e-10;4.999999999997450e-05;-3.165796217691867e-22
1.209999999999997e-10;9.999999999997381e-05;-8.784468808455730e-34
1.214999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.219999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.224999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.229999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.234999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.239999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.244999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.249999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.254999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.259999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.264999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.269999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.274999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.279999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.284999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.289999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.294999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.299999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.304999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.309999999999997e-10;1.000000000000000e-04;0.000000000000000e+00
1.314999999999997e-10;5.000000000002923e-05;0.000000000000000e+00
1.319999999999997e-10;2.991155901652184e-17;0.000000000000000e+00
1.324999999999997e-10;-4.350913167994015e-25;7.914490544228301e-23
1.329999999999997e-10;-5.843859316869465e-25;1.063022117871589e-22
1.334999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.339999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.344999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.349999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.354999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.359999999999997e-10;2.453146664577581e-24;-4.167469795426582e-22
1.364999999999997e-10;2.537823808336026e-24;-4.311321544721432e-22
1.369999999999997e-10;-8.301092120433121e-22;0.000000000000000e+00
1.374999999999997e-10;-8.644302338966132e-22;-2.071042096305775e-22
1.379999999999997e-10;1.276090543332669e-24;-2.168353573768232e-22
1.384999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.389999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.394999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.399999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.404999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.409999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.414999999999997e-10;-1.018597312942866e-22;0.000000000000000e+00
1.419999999999997e-10;-1.101100522094137e-22;0.000000000000000e+00
1.424999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.429999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.434999999999997e-10;1.486665415112921e-25;-2.525338613344639e-23
1.439999999999997e-10;1.632996880061022e-25;-2.773905974247870e-23
1.444999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.449999999999997e-10;0.000000000000000e+00;0.000000000000000e+00
1.454999999999997e-10;-4.606478926335250e-27;7.825574826037851e-25
1.459999999999997e-10;-5.141550396147933e-27;8.734564510188740e-25
1.464999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.469999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.474999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.479999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.484999999999996e-10;-3.638666081678241e-26;6.181129852033306e-24
1.489999999999996e-10;-4.160143359708480e-26;7.066981616947967e-24
1.494999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.499999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.504999999999996e-10;9.018943352513807e-27;-1.532060794875497e-24
1.509999999999996e-10;1.047831929956007e-26;-1.779967072369821e-24
1.514999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.519999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.524999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.529999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.534999999999996e-10;4.451073907280305e-27;-7.561141463381268e-25
1.539999999999996e-10;5.297507633930776e-27;-8.998997872845323e-25
1.544999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.549999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.554999999999996e-10;-1.503418794400285e-24;7.495033122717122e-25
1.559999999999996e-10;-1.818357681878294e-24;9.065106213509469e-25
1.564999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.569999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.574999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.579999999999996e-10;3.706198848443470e-25;0.000000000000000e+00
1.584999999999996e-10;4.573870819669825e-25;0.000000000000000e+00
1.589999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.594999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.599999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.604999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.609999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.614999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.619999999999996e-10;9.100226269448311e-26;0.000000000000000e+00
1.624999999999996e-10;2.067951531382569e-25;0.000000000000000e+00
1.629999999999996e-10;1.162060675729247e-25;0.000000000000000e+00
1.634999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.639999999999996e-10;4.508795421809064e-26;0.000000000000000e+00
1.644999999999996e-10;5.841291663332555e-26;0.000000000000000e+00
1.649999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.654999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.659999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.664999999999996e-10;-4.457148280665200e-26;0.000000000000000e+00
1.669999999999996e-10;-5.892938804476419e-26;0.000000000000000e+00
1.674999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.679999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.684999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.689999999999996e-10;-1.296716687011122e-28;2.202750569760668e-26
1.694999999999996e-10;-1.749731426444517e-28;2.972292972810141e-26
1.699999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.704999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.709999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.714999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.719999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.724999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.729999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.734999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.739999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.744999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.749999999999996e-10;0.000000000000000e+00;0.000000000000000e+00
1.754999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.759999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.764999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.769999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.774999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.779999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.784999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.789999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.794999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.799999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.804999999999995e-10;4.999999999995382e-05;-9.893113180273415e-24
1.809999999999995e-10;9.999999999995313e-05;-4.941263704756348e-35
1.814999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.819999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.824999999999995e-10;1.000000000000000e-04;5.262223916810717e-23
1.829999999999995e-10;1.000000000000000e-04;5.336265258374301e-23
1.834999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.839999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.844999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.849999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.854999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.859999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.864999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.869999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.874999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.879999999999995e-10;1.000000000000000e-04;-3.216170773276137e-24
1.884999999999995e-10;1.000000000000000e-04;-3.407884961214499e-24
1.889999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.894999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.899999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.904999999999995e-10;1.000000000000000e-04;0.000000000000000e+00
1.909999999999995e-10;1.000000000000000e-04;3.308722450205347e-24
1.914999999999995e-10;5.000000000004990e-05;0.000000000000000e+00
1.919999999999995e-10;5.059107446247706e-17;-2.646977960164473e-23
1.924999999999995e-10;-8.085455135559235e-26;1.657666642142518e-23
1.929999999999995e-10;-3.104635694911275e-25;5.272801251316433e-23
1.934999999999995e-10;-3.135775471201820e-25;5.325687923868585e-23
1.939999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.944999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.949999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.954999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.959999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.964999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.969999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.974999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.979999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.984999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.989999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.994999999999995e-10;0.000000000000000e+00;0.000000000000000e+00
1.999999999999995e-10;6.617444900409393e-24;0.000000000000000e+00
2.004999999999995e-10;-1.978622636053658e-23;4.999999999994606e-05
2.009999999999995e-10;-1.152961531109815e-34;9.999999999994537e-05
2.014999999999995e-10;6.630666568571439e-23;9.999999999999999e-05
2.019999999999995e-10;0.000000000000000e+00;1.000000000000000e-04
2.024999999999995e-10;0.000000000000000e+00;1.000000000000000e-04
