time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
8.799999999999984e-11;1.521429538034848e-03;6.348266055927724e+04;6.805519963528935e+04;4.467653634001428e+05;6.282322379304808e+04
8.849999999999984e-11;2.478706242905653e-03;6.385029518847880e+04;6.842296673228330e+04;4.493410036140357e+05;6.319106248734915e+04
8.899999999999983e-11;2.864750678260572e-03;6.421794002846877e+04;6.879073460899778e+04;4.519166438279320e+05;6.355889725828683e+04
8.949999999999983e-11;2.779086562524465e-03;6.458559460760665e+04;6.915850295842969e+04;4.544922840418320e+05;6.392672836120821e+04
8.999999999999983e-11;2.356232473317629e-03;6.495325837228894e+04;6.952627163194088e+04;4.570679242557375e+05;6.429455600061358e+04
9.049999999999983e-11;1.739138335737795e-03;6.532093074770978e+04;6.989404056623889e+04;4.596435644696454e+05;6.466238037498257e+04
9.099999999999983e-11;1.058481943040388e-03;6.568861113919076e+04;7.026180975946832e+04;4.622192046835543e+05;6.503020165253452e+04
9.149999999999983e-11;4.189709556617135e-04;6.605629897787435e+04;7.062957923742408e+04;4.647948448974632e+05;6.539802000961915e+04
9.199999999999982e-11;-1.074102952972705e-04;6.642399370242284e+04;7.099734903636010e+04;4.673704851113685e+05;6.576583560787296e+04
9.249999999999982e-11;-4.821525842921430e-04;6.679169479789736e+04;7.136511919874688e+04;4.699461253252699e+05;6.613364861624860e+04
9.299999999999982e-11;-6.964452279103466e-04;6.715940176573480e+04;7.173288975352768e+04;4.725217655391676e+05;6.650145919755759e+04
9.349999999999982e-11;-7.645448398807755e-04;6.752711415977750e+04;7.210066073283533e+04;4.750974057530612e+05;6.686926751197343e+04
9.399999999999982e-11;-7.158944558668486e-04;6.789483155058710e+04;7.246843214589727e+04;4.776730459669515e+05;6.723707371888272e+04
9.449999999999982e-11;-5.873397441820914e-04;6.826255355943643e+04;7.283620400894326e+04;4.802486861808419e+05;6.760487796346903e+04
9.499999999999981e-11;-4.164242341798903e-04;6.863027982198101e+04;7.320397631349460e+04;4.828243263947332e+05;6.797268039460020e+04
9.549999999999981e-11;-2.363486740189865e-04;6.899801001885840e+04;7.357174906220952e+04;4.853999666086271e+05;6.834048113849908e+04
9.599999999999981e-11;-7.281131726479182e-05;6.936574384313816e+04;7.393952223536832e+04;4.879756068225263e+05;6.870828032861935e+04
9.649999999999981e-11;5.735415471389554e-05;6.973348102499770e+04;7.430729582590341e+04;4.905512470364292e+05;6.907607807223374e+04
